name,website,short_description,linkedin,categories,num_employees_enum,locations,founded_on,operating_status,founders
theDIYaddict,http://thediyaddict.com/,"English Paper Piecing Tutorials, Products, and Community",,"Communities, Education",,"San Francisco Bay Area, West Coast, Western US",3/6/2016,active,
theDevMasters,https://www.thedevmasters.com/,thDevMasters is an education company providing instruction in data science and machine learning.,https://www.linkedin.com/company/the-dev-masters/about/,"Analytics, Artificial Intelligence (AI), Education, Machine Learning",,"Greater Los Angeles Area, West Coast, Western US",1/1/2012,active,
theDifference,https://thedifferenceconsulting.com/,theDifference works with a range of large and small clients across multiple industries and sectors to help them solve their problems.,https://www.linkedin.com/company/the-difference-consulting/,,,"Greater Atlanta Area, East Coast, Southern US",1/1/2003,active,
theDogHood,https://thedoghood.com,Holding hands in your journey from puppy owners to dog owners to dog lovers!,https://www.linkedin.com/company/74336528/admin/,"Information Technology, Pet",c_00001_00010,"San Francisco Bay Area, Silicon Valley, West Coast, Western US",9/1/2021,active,
theDreamWorkshop,http://dreamworkshopapps.com,theDreamWorkshop is a mobile development company that provides mobile applications for the iOS platform.,,Health Care,c_00001_00010,"San Francisco Bay Area, Silicon Valley, West Coast, Western US",,active,
theEATBar,https://www.theeatbar.com,theEATBar is a seller of chocolates.,https://www.linkedin.com/company/theeatbar,"E-Commerce, Food and Beverage, Nutrition",c_00011_00050,"West Coast, Western US",1/1/2016,active,Tia Bagan
theEMPLOYEEapp,https://www.theemployeeapp.com,Mobile SaaS Employee Communications Platform serving the Enterprise,https://www.linkedin.com/company/apprisemobile,"Apps, Enterprise Applications, Information Technology, iOS, Mobile, SaaS, Software",c_00011_00050,"Greater New York Area, East Coast, Northeastern US",1/1/2012,active,"Jeff Corbin, Todd Fromer"
theEMPLOYEEapp,http://www.theirapp.com,theEMPLOYEEapp is a mobile application that assists public companies in designing ir content.,http://www.linkedin.com/company/theirapp,"Apps, iOS, Public Relations, Social Media, Software",c_00001_00010,"Greater New York Area, East Coast, Northeastern US",1/1/2012,active,Jeff Corbin
theExecutionOffice,http://www.theexecutionoffice.com,"Flagship product ""StrategyFit"" allows organizations to capture, manage and track the execution of corporate strategy in near realtime",https://www.linkedin.com/company/theexecutionoffice-inc,Information Technology,c_00001_00010,Great Lakes,,active,"Amin Lalji, Madhav Murti"
theFranaGroup,https://thefranagroup.com/,theFranaGroup is a healthcare consulting firm that provides solutions for Federally Qualified Health Centers.,https://www.linkedin.com/company/thefranagroup,"Consulting, Health Care, Hospital",,"Great Lakes, Midwestern US",1/1/1999,active,
theFrontSteps,https://thefrontsteps.com,theFrontSteps is a real estate agency.,https://www.linkedin.com/company/thefrontsteps,"Property Management, Real Estate, Real Estate Investment, Residential",c_00001_00010,"San Francisco Bay Area, West Coast, Western US",1/1/2018,active,
theGROUP,https://thegroupdc.com,"theGROUP is a D.C.-based firm specializing in strategy, policy, and communications with a focus on government relations.",https://www.linkedin.com/company/thegroup-dc/,"Business Development, Consulting, Management Consulting, Professional Services",c_00001_00010,"Washington DC Metro Area, Southern US",1/1/2011,active,
theGlancer,http://theglancer.com/,theGlancer is an online shopping content aggregator.,,"E-Commerce, Fashion, Internet, News",c_00001_00010,"Greater New York Area, East Coast, Northeastern US",1/23/2017,active,"Alex Theorodires, Ekin Burak Ozturk"
theHRsoft,https://thehrsoft.com,TheHRsoft,https://www.linkedin.com/company/thehrsoft-inc,"Employment, Human Resources, Software, Staffing Agency",c_00011_00050,"San Francisco Bay Area, West Coast, Western US",12/16/2020,active,Prakash Verma
theHunt,http://thehuntguides.com,theHunt is an online collection of city guides and information written by locals.,https://www.linkedin.com/company/the-hunt-guides,"E-Commerce, Shopping",c_00011_00050,"San Francisco Bay Area, West Coast, Western US",1/1/2003,active,
theITSupportCenter,http://www.theitsupportcenter.com,"theITSupportCenter provides 24x7, immediate, expert IT help desk support for end-users of Fortune 500 organizations.",https://www.linkedin.com/company/theitsupportcenter-llc,"Information Technology, Software, Technical Support",c_00501_01000,"Greater Philadelphia Area, Great Lakes, Northeastern US",1/1/2005,active,
theInterviewGuys.com,https://theinterviewguys.com,theInterviewGuys.com is an online job interview resource created by career experts Mike Simpson and Jeff Gillis.,,"E-Commerce, Education, Human Resources, Internet",c_00001_00010,"Greater Los Angeles Area, West Coast, Western US",4/13/2013,active,Mike Simpson
theJuggl,https://thejuggl.com/,"TheJuggl connects women with the people, resources, and technology.",https://www.linkedin.com/company/thejuggl,"Information Technology, Online Portals",c_00011_00050,"Greater Chicago Area, Great Lakes, Midwestern US",1/1/2020,active,"Kelly Miller, Melissa Skoog"
theLIFT,http://www.thelift.net/,"theLIFT is a multi-disciplinary digital company that provides concept design, website development, 3D animation, and consulting services.",https://www.linkedin.com/company/thelift,"Animation, Digital Media, UX Design, Video, Web Development",,"Greater San Diego Area, West Coast, Western US",1/1/2010,active,
theLender,https://www.thelender.com/,TheLender is a real estate company that delivers customer-centric solutions to help clients realize their dreams.,https://www.linkedin.com/company/thelender,"Construction, Consulting, Real Estate",c_00101_00250,"Greater Los Angeles Area, West Coast, Western US",1/1/2017,active,
theLinc,https://www.thelinc.io,Aquatic Construction Management Software,https://www.linkedin.com/company/thelinc/,"Construction, Software, Swimming",,"East Coast, Southern US",1/1/2018,active,
theMART,https://www.themart.com,"theMART is one of the world’s leading commercial buildings, wholesale design centers, and preeminent international business.",https://www.linkedin.com/company/merch-mart,Real Estate,c_00001_00010,"Greater Chicago Area, Great Lakes, Midwestern US",,active,
theMind,http://themind.io,theMind helps companies identify the real value of data.,https://www.linkedin.com/company/themind,"Analytics, Artificial Intelligence (AI), Data Mining, Internet, Machine Learning, Mobile, Mobile Apps, Natural Language Processing",c_00001_00010,"Greater New York Area, East Coast, Northeastern US",1/1/2018,active,"Uri Soroka, VOVA SOROKA"
theMingl,http://themingl.com/,"The Mingl is a platform for like-minded people to come together to share an ""online experiential event"".",,"Events, Online Portals, Service Industry, Social Media",c_00001_00010,"Greater New York Area, East Coast, Northeastern US",1/1/2011,active,"David Freilicher, Honey Berk, Robert Skollar"
theOTC.today,http://www.theotc.today,"theOTC.today, an independent website that monitors and analyzes stock promotion campaigns.",,Outsourcing,,"Greater New York Area, East Coast, Northeastern US",4/1/2011,active,
thePRguy,https://www.theprguy.com,"thePRguy offers public relations, social media management, and crisis communication services.",https://www.linkedin.com/company/theprguy-incorporated,"Consulting, Public Relations, Training",c_00001_00010,"Greater Phoenix Area, Western US",1/1/1993,active,
theQoos,http://theqoos.com/,"theQoos is an app for K-Pop news, photos and videos.",https://www.linkedin.com/company/theqoos,"Apps, Information Services, News",c_00001_00010,"Greater New York Area, East Coast, Northeastern US",1/1/2019,active,
theREGISTRY Bay Area,http://theregistrybayarea.com/,"African American arts, events, photos, culture, society and tech.",,"Communities, News",c_00011_00050,"San Francisco Bay Area, West Coast, Western US",,active,
theREMODA,https://theremoda.com,online marketplace for resale boutiques,https://www.linkedin.com/company/theremoda/?viewAsMember=true,E-Commerce,c_00001_00010,"San Francisco Bay Area, West Coast, Western US",7/31/2020,active,
theRRD,http://www.therrd.com,theRRD is a real estate website that provides tools to assist its users in tenant and employment screening.,https://www.linkedin.com/company/the-rent-rite-directory,"Marketing, Product Management, Property Management, Real Estate",c_00001_00010,"Dallas/Fort Worth Metroplex, Southern US",1/2/2010,active,Joe Killinger
theReq,http://thereq.com,"theReq offers tools that are able to interview developers and measure their knowledge about C, C++, Python, Java, SQL, Ruby, Perl, and more.",https://www.linkedin.com/company/the-req-center-llc,"Human Resources, Recruiting, Software",c_00001_00010,"Greater New York Area, East Coast, Northeastern US",6/6/2011,active,Cailin Nelson
theRockin45s,http://therockin45s.com/,"The Rockin45s is a unique, exciting entertaining band that provides entertainment hits.",,"Events, Media and Entertainment, Music, Music Streaming",c_00011_00050,"Greater New York Area, East Coast, Northeastern US",,active,
theSAFE.io,https://thesafe.io,Patented platform-as-a-Service to securely control and combine virtual and in-person meeting participants in a Post-Covid world.,https://www.linkedin.com/company/safe-io,"Cyber Security, PaaS, Predictive Analytics, Virtual Workforce, Virtual World, Virtualization",c_00001_00010,"East Coast, Northeastern US",4/1/2020,active,David W. Schropfer
theSMARTsub,https://www.thesmartsub.com/,"theSMARTsub is education management that specializes in training, communication and reporting services to various sectors.",https://www.linkedin.com/company/thesmartsub/,"E-Learning, Education, Training",c_00001_00010,"Great Lakes, Northeastern US",1/1/2008,active,
theScore,https://www.thescore.com/,"theScore creates mobile-first sports experiences through real-time news, scores, fantasy information, and alerts.",http://www.linkedin.com/company/thescore-inc-,"Apps, Digital Media, eSports, Fantasy Sports, Mobile, Sports",c_00101_00250,Great Lakes,10/19/2012,active,John Levy
theShoeX,https://www.theshoex.com/,"Here at theShoeX, we are dedicated to providing true and honest reviews and guides of shoes.",https://www.linkedin.com/in/ben-williams-09a96a211/,"E-Commerce, Shoes",,"San Francisco Bay Area, West Coast, Western US",,active,
theSkimm,http://www.theskimm.com,"theSkimm is a digital media company, dedicated to succinctly giving women the information they need to make confident decisions.",https://www.linkedin.com/company/theskimm,"Fashion, Information Services, Mobile Apps, News, Politics, Publishing",c_00101_00250,"Greater New York Area, East Coast, Northeastern US",1/1/2011,active,"Carly Zakin, Danielle Weisberg"
theSkimm,http://skimmth.is/skimmlife,TheSkimm is a mission-driven digital media company.,,,,"Greater New York Area, East Coast, Northeastern US",1/1/2012,active,
theclozing,http://www.theclozing.com,Real Estate Techmeme,,"Information Services, News, Real Estate",c_00001_00010,"Greater New York Area, East Coast, Northeastern US",11/27/2008,active,"Anthony Barba, Joseph Ferrara"
"thedatabank, gbc",https://www.thedatabank.com/,thedatabank provides custom information solutions and services for government and nonprofit organizations.,https://www.linkedin.com/company/thedatabank,"CRM, Digital Media, Software",c_00011_00050,"Greater Minneapolis-Saint Paul Area, Great Lakes, Midwestern US",1/1/1998,active,"Chris Hanson, Mark Paquette"
thefixup,http://www.thefixup.com,Social online dating,,"Apps, Lifestyle",c_00001_00010,"Greater New York Area, East Coast, Northeastern US",4/1/2010,active,
thefoundation.com,http://thefoundation.com,"We redefine how startups, startup.",https://www.linkedin.com/company/thefoundation,Software,c_00001_00010,Midwestern US,1/1/2011,active,"Andrew Drish, Dane Maxwell"
thegiftex.com,http://www.thegiftex.com,"Giftstopakistan offers online send flowers to Pakistan, UK and USA.",https://www.linkedin.com/company/the-giftex,E-Commerce,c_00011_00050,"East Coast, Southern US",10/26/2005,active,
thejusticenow,https://thejusticenow.com/,"If you're looking for an expert Product Liability Lawyer & personal injury attorney Then, you're at perfect platform to get the compensation",,"Law Enforcement, Legal, Marketing",c_00101_00250,Southern US,9/14/2014,active,
theklicker,https://theklicker.com/,Theklicker is an e-commerce tool that provides a directory of products for consumers to efficiently buy online.,https://www.linkedin.com/company/theklicker/,"E-Commerce, Information Services, Internet, Online Portals",c_00001_00010,"San Francisco Bay Area, Silicon Valley, West Coast, Western US",4/30/2019,active,"Nihaal Rajput, Sheena Obrien"
thelab,http://thelabnyc.com,thelab is a marketing and advertising company specializing in digital and print services.,https://www.linkedin.com/company/thelab,Advertising,c_00101_00250,"Greater New York Area, East Coast, Northeastern US",1/1/2002,active,
"thelatest.com, inc.",https://thelatest.com/,THE LATEST is a news and information website which blends powerful technology and a simple UI to tackle “information overload” head-on.,https://www.linkedin.com/company/thelatest.com-inc./,"News, Social Network, Social News",c_00011_00050,"Greater Los Angeles Area, West Coast, Western US",6/1/2010,active,Jeffrey S. Hall
thelendster,https://thelendster.com/,The Lendster involves the relationship between a firm short-term assets,,"Financial Services, Real Estate",c_00011_00050,"Greater New York Area, East Coast, Northeastern US",1/1/2014,active,
thelighthouse,https://www.thelighthouse.us/,Personalized career insights empowering professionals to thrive in the fast-changing world of work,https://www.linkedin.com/company/thelighthouseinternational/,"Career Planning, Human Resources, Marketplace, Software",c_00001_00010,"Greater New York Area, East Coast, Northeastern US",1/1/2018,active,Courtney Brand
theoldschool,https://www.theoldschooltv.com/,theoldschool is a unscripted content studio that creates and produces entertainment formats for media platforms.,https://www.linkedin.com/company/theoldschooltv,"Commercial, Film Production, Media and Entertainment",c_00011_00050,"Greater Los Angeles Area, West Coast, Western US",1/1/2018,active,Robin Ashbrook
theory11,http://www.theory11.com/,"theory11 offers an online platform that enables its users to learn and teach magic and card tricks, and street magic.",https://www.linkedin.com/company/theory11-com-llc,"Card and Board Games, Performing Arts",c_00011_00050,"East Coast, Southern US",8/31/2007,active,Jonathan Bayme
thepix.net,https://thepix.net/,Professional Photoshop Clipping Path and Mask Service.,,Professional Services,,"Greater Miami Area, East Coast, Southern US",,active,
thera-LINK,https://www.thera-link.com/,thera-LINK is a HIPAA secure video platform founded by therapists for therapists to allow therapists to meet with their clients online.,https://www.linkedin.com/company/thera-link/,"Health Care, Therapeutics",c_00001_00010,Southern US,1/1/2013,active,
therapyBOSS,https://www.pragmait.com/therapyboss/,"therapyBOSS is a complete software and service solution guaranteed to save time, cut costs, and streamline operations in total compliance.",https://www.linkedin.com/company/pragma-it/,"Information Technology, Software",,"Greater Chicago Area, Great Lakes, Midwestern US",1/1/2009,active,
theresearchguardian,https://www.theresearchguardian.com/thesis-acknowledgement/,Our quick services were made to offer a helping hand to the students who are stuck with their thesis and its research.,https://www.linkedin.com/company/the-research-guardian,Tutoring,c_00101_00250,"Greater New York Area, East Coast, Northeastern US",2/4/2015,active,
therightlightphotography,http://www.therightlightphotography.com,We are an established photography compan,https://www.linkedin.com/company/the-right-light-photography,Consulting,c_00001_00010,"Greater San Diego Area, West Coast, Western US",1/1/2007,active,
theriot family chiropractic,https://www.drtheriot.com,"Theriot Family Chiropractic Center is a wellness facility that offers myofascial release, graston, and spinal decompression therapy.",https://www.linkedin.com/company/theriot-family-chiropractic,"Health Care, Therapeutics, Wellness",c_00011_00050,Southern US,,active,
thesims3.com,https://www.thesims3.com,thesims3.com is a social community based on the computer game of the same name.,,"Gaming, Social Media, Social Network",,"San Francisco Bay Area, Silicon Valley, West Coast, Western US",1/1/2009,active,
the|LuxAve,https://theluxave.com/,"the|LuxAve is the leading platform for curated fashion and sneaker news, brand lookbooks, and shopping boutiques.",https://www.linkedin.com/company/the-luxave/?viewAsMember=true,"E-Commerce, Fashion, Retail Technology",c_00001_00010,"Greater Atlanta Area, East Coast, Southern US",4/1/2016,active,
think,https://thinkproducts.com/,think is a creating nutritious food products that help support overall wellness.,https://www.linkedin.com/company/thinkproducts/,"E-Commerce, Food and Beverage, Food Delivery, Grocery, Health Care, Organic Food",c_00011_00050,"Greater Los Angeles Area, West Coast, Western US",1/1/1999,active,Lizanne Falsetto
timeNough,https://timenough.com,Los Angeles based startup proposing a time-related enterprise software with less interface and complexity.,https://www.linkedin.com/company/timenough-europe-inc,"Business Intelligence, Enterprise Software, Information Technology, Software",c_00001_00010,"Greater Los Angeles Area, West Coast, Western US",1/27/2022,active,"Arnaud M. Lagardère, Benjamin Caumeil"
timecraft,https://www.timecraft.group/,Futureproofing your marketing,,,,"Greater Chicago Area, Great Lakes, Midwestern US",12/1/2019,active,
times2studio,https://times2studio.com,"times2studio is a graphic design company that provides brand identity, logo design, and marketing services.",https://www.linkedin.com/company/times2studio/,"Creative Agency, Graphic Design, Marketing",c_00001_00010,Western US,1/1/2010,active,
timestop.zenfolio.com,http://timestop.zenfolio.com,Nature Photography services/sales exclusively through my website You can order my original prints in sizes,https://www.linkedin.com/company/zenfolio-inc,"E-Commerce, Internet",c_00011_00050,Great Lakes,11/28/2008,active,
tincan,http://www.tincanapp.com/,tincan is a mobile application that allows its users to share short sound updates with their friends and followers .,,Apps,,"Greater Chicago Area, Great Lakes, Midwestern US",,active,
tincubate,https://www.tincubate.com/,tincubate is an experienced technology and business expert that brings tech solutions to life.,https://www.linkedin.com/company/tincubate,"Information Technology, Software, Web Development",c_00001_00010,Great Lakes,1/1/2017,active,"Joe Deu-Ngoc, Marianne Bell"
ting-me Corp.,https://ting-me.com/,"ting-me is a platform for businesses, events, and parties for individuals.",,"Fashion, Information Technology",c_00001_00010,"East Coast, Southern US",4/21/2022,active,
tinyEnt Studios,https://tinyent.com,tinyEnt Studios is a software and video game development company.,https://www.linkedin.com/company/tinyent-studios,"Information Technology, Software, Video Games",c_00001_00010,"Washington DC Metro Area, Southern US",1/1/2017,active,
tinyML Foundation,https://www.tinyml.org,TinyML Foundation is a professional organization focused on supporting and nurturing the power of machine learning technologies.,https://www.linkedin.com/company/tinyml,"Consulting, Information Services, Information Technology",c_00251_00500,"San Francisco Bay Area, Silicon Valley, West Coast, Western US",1/1/2013,active,
tinyRHINO,https://www.tinyrhinoagency.com,"tinyRHINO provides web design, branding, rebranding, social media advertising, and marketing services for dental industry.",https://www.linkedin.com/company/therhinoguys,"Advertising, Brand Marketing, Marketing, Social Media Advertising, Web Design, Web Development",c_00011_00050,"Greater Miami Area, East Coast, Southern US",1/1/2018,active,
tioanime help,https://tioanime.help/,Tioanime – Ver Anime HD en línea gratis,,,,"Washington DC Metro Area, Southern US",,active,
tipsntrends,https://www.tipsntrends.com,tipsntrends is a seller of wellness and cosmetic products.,https://www.linkedin.com/company/tipsntrends,"Consumer Goods, Cosmetics, E-Commerce, Shipping",c_00001_00010,"Greater Los Angeles Area, West Coast, Western US",1/1/2003,active,
titlegenius,https://www.mytitlegenius.com,titlegenius is a digital title and settlement platform that allows real estate agents to seamlessly communicate with clients.,,"Insurance, Legal, Professional Services",,"Great Lakes, Northeastern US",,active,
tive Technology,https://www.tivetechnology.com/,"A resource, a marketplace, a community, an authentic conversation. tive™ is a bridge to an era of access & empowerment.",https://www.linkedin.com/company/tive-technology/,"Apps, Assistive Technology, Communities, EdTech, Marketplace, Mobile, Mobile Apps, Social Media, Social Network",c_00011_00050,"Greater Los Angeles Area, West Coast, Western US",10/1/2019,active,Leif Martinoff
tixCraft Inc.,https://tixcraft.com,tixCraft Inc. is an entertainment ticketing distribution company.,https://www.linkedin.com/company/tixcraft-inc-/,Ticketing,c_00001_00010,"Washington DC Metro Area, Southern US",1/1/2013,active,
tk1sc,http://tk1sc.com,tk1sc is an engineering company specializing in low-voltage systems and energy optimization services.,https://www.linkedin.com/company/tk1sc,"Energy, Renewable Energy",c_00101_00250,"Greater Los Angeles Area, West Coast, Western US",1/1/1979,active,
tkout,http://tkout.com/,TKOUT is a meta-search engine for restaurant takeout and delivery.,https://www.linkedin.com/company/tkout-com/,"E-Commerce, Food and Beverage, Internet",c_00011_00050,"Washington DC Metro Area, Southern US",1/1/2014,active,Adam Alexander
tmob mobile technology,http://thinksmobility.com/,"tmob is a mobile technology driven business management partner, giving services and developing products in order to meet corporates needs.",http://www.linkedin.com/company/1296331,"Android, Developer Tools, iOS, Mobile, Mobile Payments",c_00051_00100,"San Francisco Bay Area, Silicon Valley, West Coast, Western US",1/1/2009,active,Rudi Dökmecioğlu
to be,http://to.be,"to be is an online studio space that enables individuals to collage, create, share, and collaborate in open virtual fields.",https://www.linkedin.com/company/tobe-us/,"Collaboration, Internet, Social Media",c_00001_00010,"Greater New York Area, East Coast, Northeastern US",1/1/1999,active,
to little ones,https://tolittleones.com/,"To Little Ones is an online store specializing in premium baby products like bassinets, strollers, monitors, carriers, cribs, and toys.",,Baby,c_00001_00010,Western US,9/1/2023,active,
toSense,http://www.tosense.com,"toSense provides hardware, software, and wireless solutions to address medical issues.",https://www.linkedin.com/company/tosense,"Health Care, Sensor, Software, Wearables",c_00011_00050,"Greater San Diego Area, West Coast, Western US",1/1/2008,active,"Matt Banet, Susan Pede"
toTree,https://totree.co/,ToTree is an eCommerce platform that offers a furniture shopping service.,https://www.linkedin.com/company/totree/,"E-Commerce, E-Commerce Platforms, Furniture, Retail",c_00001_00010,"Greater New York Area, East Coast, Northeastern US",1/1/2021,active,Timothy Struby
toby,http://www.trytoby.com,"SaaS, AI, Translation & Localization",https://www.linkedin.com/company/trytoby,"B2B, Software, Translation Service",c_00001_00010,"San Francisco Bay Area, West Coast, Western US",1/24/2024,active,"Lucas Campa, Vincent Wilmet"
toddstreet,http://toddstreet.com,toddstreet is a marketing and advertising company specializing in marketing communication services.,https://www.linkedin.com/company/872342,"Advertising, Marketing",c_00101_00250,"Greater New York Area, East Coast, Northeastern US",1/1/1988,active,
tofu,https://hiretofu.com/,"tofu is an online marketplace for founders, hiring managers, and talent team leaders to find talent.",https://www.linkedin.com/company/hiretofu,"Employment, Marketplace, Online Portals, Recruiting",c_00001_00010,Great Lakes,1/1/2023,active,"Jason Zoltak, Jonathan Perez"
togoboat,https://togoboat.com,Electric-powered inflatables,https://www.linkedin.com/company/togoboat,"Manufacturing, Outdoors, Recreation",c_00001_00010,"San Francisco Bay Area, West Coast, Western US",2/1/2020,active,"Nikita Matusevich, Victor Storozhenko"
tokenproof,https://tokenproof.xyz/,Tokenproof makes it easy and secure to unlock the value of non-fungible tokens.,https://www.linkedin.com/company/tokenproof/,"Blockchain, Non-Fungible Token (NFT)",c_00011_00050,Southern US,1/1/2022,active,"Jonathan Scheiner, Peyton Smith"
tokin.video,https://tokin.video,A video sharing platform which incentivizes high-quality content.,,,c_00001_00010,"Greater Detroit Area, Great Lakes, Midwestern US",10/14/2022,active,Zach Brewer
toldright,https://toldright.com/,toldright enables organization to express their brand values and tell original stories through video.,https://www.linkedin.com/company/toldright/,"Media and Entertainment, Video",c_00011_00050,"East Coast, Southern US",1/1/2018,active,Max Heineman
tolktalk,https://tolktalk.com/,"Your Trusted Source for Cannabis Strains, Brands, and Stores",https://www.linkedin.com/company/40818386/admin/,"Cannabis, E-Commerce, Internet, Marketing",,Great Lakes,1/1/2019,active,
tomehost,https://tome.host,"tomehost is a Saas platform which offers writing, publishing documentation such as user guides and instruction manuals.",https://www.linkedin.com/company/tomehost/,"Document Management, SaaS, Software",c_00001_00010,"Greater Philadelphia Area, East Coast, Southern US",1/1/2016,active,
tommyMattress,https://www.tommymattress.com,tommyMattress is a retail store that specializes in selling mattresses and bedding accessories.,http://www.linkedin.com/company/tommymattress,"Consumer Goods, Furniture, Retail",c_00001_00010,"East Coast, Southern US",,active,
tomsheehan,https://tomsheehan.com/,tomsheehan is an experienced strategic and marketing communications firm.,https://www.linkedin.com/company/tomsheehan-worldwide/,"Advertising, Brand Marketing, Digital Marketing, Health Care",c_00001_00010,"Great Lakes, Northeastern US",7/1/1989,active,
tomtA.ai,https://tomta.ai/,Transform sensitive data into safe and atomic data for any sandbox,https://www.linkedin.com/company/74916536/admin/,"Analytics, Artificial Intelligence (AI), Internet, Machine Learning, Privacy, Security, Software",c_00001_00010,"San Francisco Bay Area, Silicon Valley, West Coast, Western US",2/1/2020,active,"Arjun Banerjee, Saibal Banerjee, Steven Atneosen"
tomtoc,https://www.tomtoc.com/,tomtoc is an e-commerce site that offers laptops and cellphones accessories.,https://www.linkedin.com/company/tomtoc,"E-Commerce, Mobile, Sales",c_00011_00050,"Greater Los Angeles Area, Inland Empire, West Coast, Western US",1/1/2016,active,
tondoart,http://tondoart.net,tondoart is a software company.,https://www.linkedin.com/company/tondo,"Internet, Software",c_00001_00010,"Greater New York Area, East Coast, Northeastern US",1/1/2014,active,Ayelet Elstein
tonebase,http://tonebase.co,tonebase gives you access to educational content produced by the world's greatest musicians and music educators.,https://www.linkedin.com/company/tonebase,"Education, Internet, Music",c_00011_00050,"Greater Los Angeles Area, West Coast, Western US",5/20/2017,active,"Abhi Nayar, Christopher Garwood, Igor Lichtmann"
tonightwe,http://www.tonightwe.com,Social Activity Engine,,"Coupons, Social Media",c_00001_00010,"Greater Seattle Area, West Coast, Western US",11/30/2009,active,
tonneson + co,http://tonneson.com,tonneson + co is an accounting firm with offices in Massachusetts.,https://www.linkedin.com/company/tonneson---co,"Consulting, Financial Services",c_00101_00250,"Greater Boston Area, East Coast, New England, Northeastern US",1/1/1975,active,
tony s commercial,https://tonyslocksmithsllc.com/,professional services,,,c_00001_00010,"Greater Miami Area, East Coast, Southern US",,active,
